num1: 317, num2: 745
num1: 67, num2: 323
num1: 304, num2: 399
num1: 268, num2: 613
num1: 41, num2: 576
num1: 335, num2: 137
num1: 9, num2: 214
num1: 416, num2: 854
num1: 361, num2: 538
num1: 391, num2: 113
num1: 9, num2: 629
num1: 853, num2: 523
num1: 771, num2: 533
num1: 39, num2: 273
num1: 627, num2: 522
num1: 729, num2: 375
num1: 714, num2: 984
num1: 86, num2: 727
num1: 148, num2: 442
num1: 659, num2: 930
num1: 606, num2: 455
num1: 661, num2: 278
num1: 511, num2: 224
num1: 741, num2: 103
num1: 405, num2: 226
num1: 690, num2: 221
num1: 743, num2: 671
num1: 904, num2: 48
num1: 214, num2: 669
num1: 313, num2: 778
num1: 328, num2: 558
num1: 16, num2: 534
num1: 591, num2: 671
num1: 158, num2: 309
num1: 305, num2: 375
num1: 395, num2: 733
num1: 764, num2: 920
num1: 787, num2: 366
num1: 260, num2: 940
num1: 904, num2: 953
num1: 803, num2: 943
num1: 97, num2: 179
num1: 757, num2: 133
num1: 949, num2: 638
num1: 533, num2: 324
num1: 177, num2: 653
num1: 361, num2: 108
num1: 912, num2: 339
num1: 130, num2: 4
num1: 501, num2: 376
num1: 166, num2: 904
num1: 229, num2: 929
num1: 481, num2: 574
num1: 989, num2: 487
num1: 398, num2: 359
num1: 110, num2: 756
num1: 300, num2: 194
num1: 87, num2: 414
num1: 551, num2: 403
num1: 92, num2: 391
num1: 598, num2: 480
num1: 644, num2: 80
num1: 254, num2: 510
num1: 432, num2: 50
num1: 128, num2: 797
num1: 210, num2: 512
num1: 22, num2: 316
num1: 228, num2: 533
num1: 912, num2: 39
num1: 808, num2: 845
num1: 444, num2: 403
num1: 420, num2: 83
num1: 738, num2: 977
num1: 739, num2: 424
num1: 21, num2: 79
num1: 886, num2: 756
num1: 510, num2: 621
num1: 92, num2: 339
num1: 827, num2: 684
num1: 249, num2: 131
num1: 106, num2: 569
num1: 998, num2: 733
num1: 653, num2: 299
num1: 942, num2: 849
num1: 884, num2: 418
num1: 765, num2: 279
num1: 230, num2: 66
num1: 830, num2: 643
num1: 549, num2: 381
num1: 384, num2: 650
num1: 156, num2: 98
num1: 848, num2: 696
num1: 916, num2: 489
num1: 795, num2: 164
num1: 681, num2: 258
num1: 548, num2: 602
num1: 961, num2: 356
num1: 648, num2: 723
num1: 467, num2: 182
num1: 619, num2: 371
num1: 437, num2: 812
num1: 46, num2: 936
num1: 365, num2: 654
num1: 870, num2: 487
num1: 467, num2: 737
num1: 83, num2: 429
num1: 325, num2: 852
num1: 354, num2: 858
num1: 452, num2: 532
